id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Camélien;Rey;Boniface.Meunier75@yahoo.fr;repurpose withdrawal;2023-06-12T09:56:37;71697;45464
2;Azélie;Lacroix;Agnan.Chevalier@gmail.com;withdrawal;2023-06-12T13:53:29;75289;21024
3;Valéry;Aubry;Adalsinde.Perrin@gmail.com;Sleek;2023-06-11T22:56:53;71090;65309
4;Auguste;Roussel;Alaine.Sanchez@hotmail.fr;reinvent orchestrate;2023-06-11T18:26:30;52820;82484
5;Anastase;Fontaine;Laurence14@hotmail.fr;mobile Granite;2023-06-12T13:04:24;13439;33970
6;Adrienne;Roux;Marine.Olivier73@gmail.com;Kazakhstan time-frame;2023-06-11T21:50:36;64329;13556
7;Ernestine;Andre;Anal72@yahoo.fr;Devolved rich;2023-06-12T00:20:44;54588;45928
8;Christiane;Schneider;Astart8@yahoo.fr;payment Bretagne;2023-06-12T14:24:08;3244;21747
9;Désiré;Vasseur;Salom_Mercier98@hotmail.fr;white;2023-06-12T05:44:47;90189;81327
10;Acanthe;Rey;Aubertine79@gmail.com;Table Alsace Checking;2023-06-11T18:24:57;32637;8639
